,eng,jp
4514,you want to fool around with me?,私とやりたい?
4515,you can be sure i'll get it from you.,必ず 奪ってみせますよ
4516,"look, i know it sounds scary",恐ろしいわよね
4517,do you have any proof?,《何か証明できるものが おありですか?》
4518,there's a link. we finished up the background,つながったな。 新たな被害者
4519,they appointed an officer,彼らは幹事を任命し
4520,what are you?,あなたは何なの?
4521,get off the fucking kit.,ママが去るわけだ 代われ
4522,so richard ledgett is the 15th deputy director,さて リチャード・レジェットは NSA(米国国家安全保障局)の
4523,are you okay?,大丈夫? 大丈夫?
4524,"no, you should stop. i'm getting you there!",ちょっと待って
4525,"stand down, creature, and you may still survive this.",お下がり クリチャー それで生き残れる
4526,you mean towards the guys with guns?,銃撃するの?
4527,it's legal to fire someone,ゲイ レズビアン バイセクシャル トランスジェンダーという理由で
4528,what if this is it?,一体 どうしたんだろ
4529,i have lots and lots of time.,時間だけは沢山あるからね
4530,some profanity,使われているのも見受けられます
4531,through a series of unfortunate events.,残念ながら新しい情報は
4532,please tell the truth even now.,今からでも 本当の事を言ってください
4533,"they all fell off the grid. there's no financial activity, there's no utilities, no current address.",銀行のお金の動き 光熱費 記録が皆無
4534,"and yet, people who are 10 years older all say",10年後の人たちは 口を揃えて言うのです
4535,"come on, maisie, we should get washed up.",メイジー 手を洗いましょ
4536,some french people are too proud too,フランス人には あまりに 誇りが高すぎる人がいますからね
4537,being surrounded by a bunch of other young individuals,5区全部からの少年たちの集団に放り込まれます
4538,"what are they, like, magicians in hoods?",何か被った奇術師みたいな?
4539,it's okay. i'm not gonna hurt you.,さあ、ここは安全だよ
4540,"we took it, set you free. it's ours. we spilled blood.",自由にしてやった ここは俺達の物だ
4541,i've been close friends with takahirosan since before.,隆広さんとは 以前から 親しくさせてもらってまして...
4542,you disappeared for 12 hours. we didn't know what happened!,12時間も報告なしで 姿を消してたから
4543,sounds good.,いいだろう 別に
4544,"219, take the window here.",219はこの窓に
4545,we lay out the building areas.,商業用の建物と多目的の建物を 統合するように
4546,reload!,弾込め
4547,"i'm not gonna do your homework, like, for free so you can play xbox with my little brother.",あんたの宿題やんないわよ、タダなんかじゃ。 - えっ? - 弟とxボックスやってる何て気楽ね。
4548,"yeah, you can count on me.",おう 任せとけって フフフ...。
4549,"well, there isn't.",ありませんよ
4550,pull me through,引っ張ってくれ
4551,and i went to the doctor.,医者に行きました
4552,so now we're back to square one.,また振り出しね
4553,i did it all for you! for you!!,俺は お前のために...この~!
4554,that isn't it!,可笑しいんじゃない
4555,and [it] on the right,地球を示しています 右側に時間を表す目印があります
4556,"oh, merde.",やられた!
4557,his greatgranddad started patera de sousa in 1812.,彼の曽祖父であるパテリア・デ・スーザ氏が1812年に始めたもので
4558,as our technical capabilities improve.,20年後にどうなっているか想像できます
4559,and technique.,手法でした
4560,how many of you have iphones?,iphoneをお持ちの方は何人おられますか?
4561,i pulverized the fucker with a hammer.,野郎をハンマーで 粉々にしてやった
4562,"jump up, make a sound, hey!",ジャンプして 叫ぼうよ
4563,i don't think sandy wants the police involved...,サンディは喜ばない
4564,"where are you, buddy?",どこにいるんだ?
4565,you won't get lucky again.,負けたくなきゃ
4566,in the two years we've known each other i've rarely seen you uncomfortable.,この2年間ずっと お互いに不愉快だったわ
4567,"mum, mum!",あと20 秒よ デヴィッド
4568,that if i had worked with you a little longer,もう少し 一緒に 仕事をしていただいたら
4569,should you care?,気にする必要あるの?
4570,"hmm, well in that case...",どうなんでしょう そこまでは
4571,you thinking of fucking me?,私とやりたい?
4572,it rained last night before dawn.,夜明け前に 雨が降りました
4573,bernie here produced our first and only record.,バーニーは最初のレコーディングを プロデュースしてくれた
4574,"anyway, if a kishin gets the black blood...",とにかく 鬼神に黒血が注がれたら...。
4575,"once again, it's shinkaisan. what's your answer?",またまた 新海さん。 答えは?
4576,or paper. and the vast majority of this first computer,この最初のコンピューターの大多数は
4577,haven't you heard something like that from your father?,そういう話 お父さんから聞いてません?
4578,yeah. the clock is ticking.,時間がないわ
4579,that's good! that's so good!,いい いいわよ!
4580,what did you say?!,なんだと!? うおぉ~~っ!
4581,everyone chooses a number from zero to 100,各人 0から100の中から数字を一つ選びます
4582,i believe in real life.,現実生活では違います
4583,that they would go without a fight.,彼らは戦いなしで行くだろうと。
4584,flower scholar.,花...花草書生
4585,"come on, mister satan!",こ... ここへ 来てほしかったんですか?
4586,all i got is a name julie davenport.,女の名は ジュリー・ダベンポート
4587,what about it?,そうですか それが何か?
4588,he bought that? i sold that.,協力してくれたか ?
4589,right there.,そこ
4590,"the truth is, my weight has rebounded a little.",実は私 ちょっとだけ リバウンドしちゃいまして...。
4591,aren't you the only one who's thinking like that?,そう思ってるの そちらだけなんじゃない?
4592,it was from a burner phone.,使い捨て携帯から
4593,you should've killed me when you had the chance.,俺を殺しとけば良かったな
4594,we'll play again tomorrow.,続きは また明日ね バイバ~イ また明日
4595,you're my family.,お前は私の家族だ
4596,it was.,なんだ?役に立ったのか?
4597,families hacked and stacked in churches.,教会で沢山の家族が大虐殺された
4598,dog is a good dog.,あいつはいい犬だ
4599,i'll pass the bar examination!,司法試験に一発合格するぞー!
4600,i question the appropriateness of talking in front of the rooms.,部屋の前で 話しすんのは どうかと思います。
4601,the master and i aren't enough?,私と先生の2人でも まだ足りないわけ?
4602,we made them.,俺達で作ったんだ
4603,how's it going over there?,但是今天却是格外特殊的
4604,have some...,いくつか持っていってください...
4605,"a hand gesture, it means you're in sync.",社会学者はそれを 非対称な反応と呼んでる
4606,even with saul in the way.,その通り
4607,on military strength.,なにせ 木ノ葉も今や 未曾有の戦力不足だからね。
4608,what are you doing?!,成功報酬は別に百万用意してある。
4609,"if you want to have him, it is still possible but it all depends on you.",あなた次第で これからも一緒に 暮らせる可能性は残ってます。
4610,we need to restore confidence and trust amongst our people.,国民の信用と信頼を回復しなければ」 と答えました
4611,they ignored us?,無視だと
4612,los dejo aqui con mi primo.,あめりか人ガ 話シタイソウダ
4613,only one more dish,あと1品やな。
4614,you did?,何で黙ってたんだよ
4615,and the column that we ended up with,多くの手間をかけて
4616,circuits and electronics course,MITのハードな電子回路と電子工学の講義で
4617,it reminds me of the mediterranean.,地中海を思い出すわ
4618,because you are also a tribe.,皆さんも1つの部族だからです
4619,mr. cali! you're getting one last walk in before lockdown?,カリさん、前回、新しくしたよね?
4620,"after the assassination fiasco, we can't afford not to.",暗殺騒ぎでは失態を やるしか無い
4621,"march 27, 1970.",1970年3月27日
4622,and especially in the animal kingdom.,特に動物の王国における複合性を
4623,of course she is. dan!,もちろんです
4624,"if they decide to do it, i'll go.",僕は 決定したら行きますよ
4625,he picked me up like i was nothing.,彼は何もなかったように 私を持ち上げた
4626,i can not move it like this without wearing it,まさかあれを着てる状態でここまで動けるなんて
4627,"which means i will never come to live with you, and... you're okay with that?",一緒に暮らせないと いうことだよー それでも?
4628,"i mean, he was thirsty.",のどが渇いただけ...
4629,have you flushed your waste?,ただ時に流されていてはいかん
4630,this printing machine,あの... この印刷機
4631,"killer put a bucket under him. took his time, too.",バケツを置いて 延々と食わせ続けた
4632,it was never him.,決して彼自身ではない
4633,get your ass back here!,戻りなさい!
4634,which is about three times deeper,これは2万年前の
4635,you made you!,君は 君自身を 変えた!
4636,"caesar! lilly, take him!",シーザー リリー 彼をお願い!
4637,you think i don't know what you're up to?,まあね 俺達を誰だと思ってんだ
4638,a hotline where people could leave voicemails of their pain,9.11に限らず 人々が痛みについて
4639,and manufactured it exactly as told.,そのとおり 完成させただけですから
4640,how could they have lived?,どうやって彼らは生きていられた?
4641,you know wt he's doing here in this country?,こいつが、この国で何をしてるか知ってるか?
4642,"i looking at it, looking at it but cant remember",見た 見た。 見ましたけど 覚えてないっすよ...。
4643,"of course, i'm going.",行くに決まってんだろ。
4644,what are you talking about?,馬鹿げてるだと!
4645,"hey, olivia.",オリビア
4646,"if what sabine says is true, when she sacrifices herself, all of her power will flow back into the earth.",サビーネの話しが本当なら 彼女が身を 犠牲にするとき 彼女の全ての力は
4647,"let's go, christabel!",行こう クリスタベル
4648,"hi, honey.",元気そうだ
4649,"with this job, you can pay off all your debt...",借金完済も出来る
4650,sorry i couldn't be at the crime scene.,事件現場にいられなくて すみません
4651,"if you don't mind, i think i should urinate before we leave.",発つ前に おしっこを
4652,"ah, kid.",ああ
4653,and i thought about my dad,私は父のことを思い出し
4654,i don't think it's german. i don't see any guns.,ドイツ軍じゃないな 銃が見えない
4655,"kkinchansama, please continue.",キ キンちゃん様 続きをどうぞ
4656,who the hell else would i be?,じゃあ 私は誰よ?
4657,what has?,なんだ
4658,we're getting our band back together. whee!,「みんなの」バンドを再結成しようぜ
4659,because spanish doesn't have that sh,スペイン語には [シ] の音がないからです
4660,you may note that you are not included in the invitation.,わかってるだろ 私が誘ってるのは 君じゃない ジョン どうかな
4661,but it starts a conversation.,話の種にはなりますからね
4662,just think it over.,よく考えて下さい
4663,"oh yeah, that's right!",そうだね
4664,"hey, get the fuck down!",その荷物を置くんだ!
4665,i want you to take out your list of red john suspects,[レッド・ジョンの容疑者リストを取り出して]
4666,"aah, but i guess i work better at night.",(孝則)ああけど仕事は 夜やるほうがいいんだよな
4667,i just wanted to hurt you as much as i thought you had hurt me.,あなたが したように 苦しめたかった
4668,i've really missed you.,ずっと会いたかった
4669,the baby... is not human.,あの赤ん坊は人間ではない
4670,whose fault was that?,誰のせい?
4671,they call for you.,彼らはあなたのために呼び出します。
4672,just don't let him die. just...,ただ彼を死なせないで欲しい...
4673,it is a qualityoflife transplant,人生の質を向上させるための 移植なのです
4674,the world cup is played every four years.,ワールドカップは 4年に1度開かれます
4675,you can live to be 100.,100歳まで生きられるか」です
4676,what you looking for then?,いったいなにを探している?
4677,under the... futon.,布団の 下
4678,so what we're talking about here is human rights.,僕たちがここで話していることは人権だ
4679,and what do you call this hair tie in japanese?,この髪留めも日本語で何て言うの
4680,you must be magic. there is no end to our good luck since we met you.,お前と会ってから 幸運が続いている
4681,"but we seem to have lost him, somehow, to all of it.",何か息子を失ったような 気がしたわ
4682,do...,急がないでいい
4683,"no, i need to be at the exchange.",だめだ、捕虜交換に立ち会う
4684,hang on a minute. did you see anybody in the alley?,ちょっと待って 路地で誰か 見なかった?
4685,they're the symbol for a very dangerous competition.,彼らの非常に 危険な競争のシンボルです
4686,this...,これが・・・
4687,next is volume 42.,あと42巻だ
4688,i tried to soften the bad taste you get from that ending...,バットエンドの後味の悪さを緩和してみたのだけど
4689,motor racing is a funny old business.,カーレースの世界は面白いものです
4690,"me, too, but i went to cram school on the weekends.",私もですn土日は塾行ってましたし。
4691,"hey, ichijoukun.",ねぇ一条君
4692,"i mean, the last person we'd suspect to be the man in yellow is someone who lost the use of their legs.",誰も足の悪い者が 黄色い男だと考えない
4693,so what about circuit breakers?,では、ブレーカーはどうでしょう
4694,it transforms our perception,認識を変え
4695,i do feel bad about this.,愛想が悪くて悪かったな
4696,0 students.,よーし!
4697,my wife said that housewives needs a weekend too,カミさんが 主婦でも休日は必要だって
4698,"well, we can make these meals to go and your weapons will be waiting outside but you should take time to relax.",その食事と一緒に外で渡してやる だから落ち着け
4699,"ooh, bad idea.",おぉ失敗だわ
4700,you want to eat it too.,食べ物に何の罪がある? 君も食べたいだろ
4701,how can you even say it?,どうして そうなる?
4702,"not for your clientele, clearly.",お客さんにとっては違ったけどね
4703,it's 80 to 90% better than here.,腹は減らぬし 体は軽いし 十中八九 ここよりも よい所だ。
4704,how much do you know?,テメエの言う余計なもんが どれだけの力を持ってるか➡
4705,and they dressed us hurriedly.,早朝に突然起こして 着替えさせました
4706,it feels really dangerous...,すごく危険な感じがするんだけど。
4707,maybe your uncle did it to eliminate that worry,兄上様は そんな憂いを
4708,i'm sorry carlos .. no.,ごめん カーロス 行けない
4709,for them.,あの人たちにも
4710,"the problem is, i really love paul.",問題は 私が本当にポールを愛してることなの
4711,what the heck is that? a fog...?,ヘッ そうこなくっちゃ!
4712,"you know, i want one of those tshirts that says my friend was a castaway, and all i got was this crappy shirt.","俺も1つ欲しい Tシャツと言っただろう 俺が貰ったのは 安っぽいTシャツだ"""
4713,this appears in my puzzle calendar.,私のパズルのカレンダーにもあります
4714,then transmits the image to the computer.,画像をコンピュータに送信します
4715,one of the objectives of the one laptop per child,「1人に1台ノートpc」の 目的の1つは
4716,don't do that.,止せよ
4717,right as secondclass subject rather than extinction.,滅亡ではなく 二等臣民としての権利を。
4718,it must be surrendered immediately.,それはすぐに降伏しなければなりません。
4719,i didn't hear that.,全部聞いた?
4720,working hard for suffering families,苦しんでる家族のために
4721,"all this time, running from walkers you forget what people do, have always done.",ウォーカーから 逃げてる間は― 人の怖さを忘れてた あなたのおかげで
4722,and it's a very simple operation it's making a fold,とても単純な動作です 一回折って
4723,no way...,所以你要小心点
4724,"but right now, quinn doesn't matter ... only skye does, and i need you to pilot the plane.",その通りだが 今 重要なのは クウィン じゃない スカイの為に飛行機を飛ばしてもらいたい
4725,here's what you can trust. if you don't meet me with the money,そこは君を信頼してるが
4726,"i have plenty of time, after all.",私には時間もたっぷりあるわけだし
4727,that we'll save 600 million dollars in energy bills,電気代が毎年6億ドルもセーブされます
4728,for a long time all ready...after the affair,寝室を別にしているような 有様でして。
4729,i'm not yelling at anyone.,誰も叫んでない。
4730,"but... you see, i already... just promise me one thing.",でもね あの 私 もう...。 -ただし 約束しろ。
4731,it's...,すげえ テンションだな
4732,you covered up the russians' involvement.,あなたはロシアの関与をもみ消した
4733,it needs to be a man that is not interested in yuna.,ユナに 目もくれないような 男であること。
4734,well? what is the enemy doing?,≪ ガオーッ! ひ~っ!
4735,"and you need to grow up, and you need to face the facts","あなたには成長が必要なの 事実に直面することも,"
4736,have you decided of your own accord?!,勝手に 決めんなっつったじゃん。
4737,i didn't mean to.,そんなつもりは
4738,one of them was injured when he was struck on the head with the shotgun.,内1名が散弾銃で頭部を殴られ 負傷しています。
4739,go! shooting star dragon!,最後の攻撃 いけ シューティング・スター・ドラゴン。
4740,i'd love to go.,私は行くのが大好きです。
4741,and i can change my cut,切り方を変えることで
4742,who is she?!,武天老師って 誰だよ!?
4743,deep down in your core.,表現するということです
4744,and then robert stirling came along with this genius idea,スターリングはさらに 天才的なアイデアを出しました
4745,but the main frame has finally been completed.,まぁな だが ようやくメインフレームが完成した。
4746,thanks for the hospitality.,もてなしに感謝する
4747,mr. satoshi okuda.,奥田聡史さん
4748,"e flat, fellows!","E flat, fellas!"
4749,the argument against nuclear power is an emotional one.,原子力の議論は 感情的なものだ
4750,"of this, your subjective world.",皆さんの主観的な世界を 作り出しているんです
4751,"all right, that's enough.",よーし これでいい
4752,i want to volunteer to be one of the lookouts in the clock tower.,私も監視塔に立たせて
4753,"let's go, then.",もう 放っといて
4754,"others can't be saved, 'cause others are just plain evil.",他を救えなかったのは 悪に染まりきってたからだ
4755,yep... just finished.,ちょうど終わったよ
4756,so let's imagine then that you're a roaring success,恋愛が 絶好調で 進んでいるとしましょう
4757,why you agreed to come out here.,どうして素直に ここへ来たの
4758,he's dead.,亡くなりました
4759,i'm truly sorry! i'll also pay for the cleaning!,《≪本当に ごめんなさいnクリーニング代 払いますから》
4760,"start now, make a change gonna come around",今すぐに 変れるよ 意見を変えよう
4761,we may be able to get out of here!,ここから出られるかもしれねぇ
4762,we gotta go. but that's what he wants. he's forcing us to leave.,だがそれでは奴の思う壺だ
4763,this is what i like about him.,るりちゃん 私が好きなのはね こういう所だよ
4764,biotechnology and pharmacology into an information technology,生物工学や薬学を情報技術へと変え
4765,who am i?,わたしは誰だ?
4766,no closer.,そこまでに
4767,i'm curious whether... it's difficult for you to see amazing amy heading down the aisle.,彼女に先を越されて プレッシャーでは?
4768,maybe like once or twice.,1、2度はあるけど...
4769,"tore at him, tore him apart.",かぶりつき 真っ二つに
4770,i'm sorry,すいません すいません すいません
4771,speaking of which,まぁ ひとまず
4772,see?!,そうみたいね。
4773,and isn't the most comfortable process.,あまり快適なものでもありません
4774,excuse me?,もう一度?
4775,it's the same reason you thought you saw walter in the hospital.,病院で ウォルターを見て 考えたのと 同じ理由...
4776,have a nice flight.,お空を楽しめ!
4777,"at last, the big day came i made my claim",いよいよ出産の日が来た
4778,keep your head down.,立つんじゃないぞ。
4779,it was nearly the same time that a shoot to television and shigemura suddenly disappeared during the program appearance,テレビへの銃撃と茂村君が番組出演中に突如消滅したのがほぼ同時刻だった
4780,"with our lives, i think we can go back to",ディオゲネスや孔子を 見習うことではないでしょうか
4781,you have five minutes. some of us actually have to show up for work.,すっかり 運んだね
4782,"yeah, we gave it to a drug dealing monkey.",指はヤク運びのサルにくれてやった
4783,be they momentous occasions,それが重大な出来事であれ、
4784,"i've fracked over 3,000 wells in my life.",これまで3千カ所以上で施工してきました
4785,"48 years old, unmarried.",48才 未婚
4786,"it's practice, it's training, and it's (sobs)",マジックは練習であり トレーニングであって-
4787,i wanted to be strong like them,僕も二人のように強く
4788,"this time, ill protect you.",今度は僕が守る
4789,"this key chain, you bought it at the souvenirs shop near the temple.",このキーホルダー あなた お寺の近くの土産物店で買った。
4790,ow ow aww,イテテテ...。
4791,"come on, let's go, let's go!",ぽってー 行くよー
4792,"good. but, if i find out he's been playing you, doctor.",結構 だがもし 奴が君を騙していたとなれば━
4793,"which includes usability, understanding",これにはユーザビリティや理解が含まれますが
4794,"um, then there's, uh, sammy runyon.",あぁ それから サミー・ラニヨンにも
4795,only about one in every four million kids has this disease,約400万人に1人の子供がこの病気にかかりますが
4796,"in the original case files, my father circled the feet of all the victims, like they had something in common.",オリジナルの事件で 父は 犠牲者の足に拘って 共通点を探していた
4797,until he tells you what you want to hear.,こんな話が 聞きたかったんだろ?
4798,"i mean, how else do you teach 150,000 students?",15万人の生徒に教える方法が 他にありますか?
4799,that's what it seemed.,ウンサンのようですが 乗せましょうか?
4800,"you're going to be the next hokage, kakashi sensei?",カカシ先生が 次の火影になるんですか?
4801,you sure about this?,本当にいいの?
4802,"just like you, chiakisama!",ああっ。 なるほど! さすが 千明さま。➡
4803,youll also find a good husband soon.,ちょっと あんたも 早く いい人見つけなよ。
4804,"yes, magister, is true.",はい 事実です
4805,you're telling me the cops don't have this?,警察は持ってないのか?
4806,thank you!,ありがとうございます...
4807,he climbed an electrical tower the night of the accelerator explosion.,爆発の夜に鉄塔に登った男か
4808,secure all corners in cell block c.,"独房棟""C""で 四隅を守れ"
4809,it's the first time i've drank this much.,私 こんなに飲んだの 初めてですよ
4810,"if i call and someone is beside yukiho, then she will have to lie.",〈横に誰かがいれば 雪穂はささいでも〉
4811,"yeah, sure. here's what we can do.",あぁ、選択肢は1つだ 今日、君が300ドル払って―
4812,these zombies of yours are pretty tame.,ゾンビを飼い慣らしているな
4813,"detective, the barfly just left the building through the back exit.",刑事、バーの常連だ 後ろの出口を通って 建物を出ました
4814,"oz, knock it off.",オズ やめて
4815,the expansion of space.,膨張の速度を衰えさせているはずです
4816,i am hurrying!,じゃなくて... 私 この度 神様になってるんですけど
4817,it's not just making about,自己組織化で携帯電話や
4818,the issue has been settled! would be what they say.,「これにて 一件落着!」 みたいなことだよね?
4819,only spectacular events,派手なだけの出来事や
4820,it's because i love her that i want to let her do what she wants!,好きだからこそ今ちーちゃんの望むようにしてやりたいんだ
4821,"okay, so then you know that we need it to make cell cultures grow, right?",細胞培養に使うの 知っている?
4822,"and lo and behold, people started uploading their videos.",するとみんながビデオをアップロードしはじめたのです
4823,well ... my father's bruises ... where did they come from ?,あの... 父の体の あざ あれは何なんですか?
4824,you have to live!,恥をさらしてでも生きるべきよ
4825,world permissible yes nave severe thing,世上可没有这种耍酷的事
4826,"a couple of years later, i meet them.",2年後 彼らに会いました
4827,and count out loud with him so he does it right.,彼に向かって数を数えて
4828,julia wants to talk to you.,ユリアが話したがってる
4829,no i have not seen it really? yeah true.,いいえ 見て無いわ - 本当に? - ええ 本当よ
4830,no. nothing like that.,ないよ 何にも無い
4831,get out now!,今すぐ 出てけ!
4832,i'll be waiting for you there.,夏目様 お待ちを お願いしたいことがあるのです!
4833,"i usually forget things, but i remembered it!",覚えてるんだわ 忘れっぽいのに、今回は覚えてる
4834,we don't really like to only consume.,消費だけしていたいと思ってはいなかったのです
4835,oh. of course. good question.,それはいい質問ですね
4836,will you also participate if you can?,よろしければ 署長も ご一緒に参加されますか?
4837,"brave, i am not as sweet as the maroou gariath.",勇者よ 私は 魔王ガリアスほど甘くないぞ。
4838,i was sure it was gonna be filled with body parts but there was just some church crap and an old freezer.,解体した 死体を置場だろ 他はガラクタと 古い冷凍庫
4839,"say, what is this?",何だよ! 仙人のごちそうって これかよ!
4840,thank you!,わぁ 鞍馬ありがとう
4841,"whoa, whoa! what are you doing? we have to make a toast first!",(関口) おいおいおい 何やってんだよ 乾杯だよ
4842,cabaret is a time of gold!,キャバクラは金策だ~
4843,"where you are is of very little interest, my dear.",あなたがいる所には 殆ど興味がない まあ
4844,we can forget about studying to play tennis in the afternoon and go swim in the river!,勉強は忘れ 昼はテニスに川遊び
4845,you told me it looked good.,似合ってるって言ったろ
4846,i will.,ええ 任せて
4847,i know you beat up burtie.,バーティを殴ったな
4848,please go back to the first terminal hit the enter key.,最初の端末に戻って エンターキーを押すんだ。
4849,"well, just keep talking about that little hall of light touching your heart and she'll come round.",まあ、胸に入ってきた 光の玉のことを話してれば... そのうち気が変わるよ。
4850,"well, it looks like a sword.",剣に見えるけど
4851,is like a dad.,父親みたいなもんだ。
4852,"if you're irritated, how about smacking this blacklisted company thoroughly?",イライラしているのなら ここはひとつ ブラック企業をガツンとやっつけて➡
4853,since when have the cia and fbi been such good friends?,いつからciaとfbiが 仲良くなったんだ?
4854,eh. hehe...,ええ。 ヘヘ...。
4855,the story has yet to end.,まだ物語が終わったわけじゃない
4856,"this is my only special move, demonic commandeer.",僕の唯一の必殺技 デモニック・コマンディアは
4857,one.,ワン
4858,because i was afraid.,怖くて聞けないって。
4859,"this man has betrayed her, made her fall in love with him.",この男は騙して惚れさせた
4860,chief! an outside call for you.,課長 外線にお電話です。
4861,"ouch ! ryuji, are you okay ?",いてっ! 隆司 大丈夫か?
4862,i'll stop writing my delusions diary,妄想日記は 封印しますが
4863,[ groans ] mother...,お母さん
4864,"it's me. please, four, look at me. look at me.",お願い、フォー 私を見て 私を見て
4865,"and, uh, did your husband's faith... falter after he was told about the cancer?",彼はガン宣告の後 信仰は揺らいだ?
4866,are you afraid to become an accomplice in hiding the fact?,実は植物状態だ という事実を隠した共犯になるのが怖いか?
4867,i look like a putz. you look sharp. look at all them buttons,この間抜けな格好 ―しゅんとしてるぞ
4868,and they climbed onto that ball far less often,するとボールが熱い時と比べて
4869,who's the spy?,それで スパイは 誰だと言うんだね。
4870,through a process of refinement,手直しやトライアルアンドエラー
4871,and in these books i discovered the idea of task shifting,これらの本の中で 私は世界の医療においての
4872,i'm trying to keep you safe.,安全のためです
4873,what's this sheet for?,何 このシーツ
4874,"wearing tuna tags, lightbased tags",マグロタグである 発光式のタグを付けることで
4875,is it lucky for you?,あなたのラッキーNoですか?
4876,"her sons, one of whom had asthma",家族のうちぜんそく持ちだった
4877,"i mean, anyone who has been to russia would know",まあ ロシアに行ったことのある方は おわかりでしょうが
4878,"the next time, i will get back to you.",また今度 お願いします
4879,i will.,頑張ります
4880,"i was at the university of chicago, in my third year",私はシカゴ大学の3年生でした
4881,and you can still survive while you're traveling from one place to another.,惑星から惑星に移動する間も生きられます
4882,he found out right before he came back to mi6.,彼がmi6に戻る直前に知ったと思うわ
4883,"okay, i got him.",いいぞ
4884,"look, hayden, i love you.",聞いて ヘイデン あなたを愛してる
4885,maybe we should just get pizza.,ピザでもとれば -ダメよ
4886,within their organization.,上位機構
4887,a revolution!,是的 那群人说什么要革命
4888,we will avenge our mother russia.,我々は母なるロシアの 仇を討ちます
4889,"seriously, who the hell are you?",マジで 一体誰なんだ?
4890,"security, this is olivia taylor.",警備係 オリヴィア・テイラーよ
4891,do i even make the top ten?,私もトップ10を作ろうか?
4892,"mustang, huh...?",マスタングか...
4893,that's why i dropped out. you were bullied?,だから やめた いじめか?
4894,"i was recommending sanaes bread to a customer, but he said its so gross that its inedible.",早苗のパンをお客に勧めてたんだが、 気持ち悪くて食えないっていうんだよ
4895,the man who calls himself rodrigo took something from me.,ロドリゴは 俺から金を奪った
4896,for as long as is reasonably possible.,引き渡すように見せかけるんだ
4897,it's healing well...,ありえんじゃろ。
4898,ok. if that changes...,分かってるけど
4899,but if one of them can find a way to live with one of us,だが一部の者は 共存の道を選択する
4900,what if they don't?,もし嫌だと言ったら?
4901,did you think that it would be okay to be me?,僕だから当たってもいいと 思ったんですか?
4902,and everyone should open a beehive,皆さんに巣箱を持ってもらいたいです
4903,captain...,へっ!? 貴様もだ 隊長格。
4904,my office should've been renovated a year ago.,このオフィスは一年前改装されるはずでした
4905,you have blood on your hands.,あなたの手は血まみれね
4906,"hey, dale, can you see what that is?","おいデール, なんだと思う?"
4907,but... someday... a second and third me... will...,「だが... 第2 第3の僕が... いずれ...」
4908,i'm really hoping that we can meet before you leave town so i can explain the confusion earlier today.,あなたが町を出る前に お会いしたいんです 今日の混乱を説明できます
4909,but that's a personal matter.,でも それは一身上の都合です
4910,"in light of today's severe summer heat, officials suspect that the lunches were improperly stored",(アナウンサー) 今日の日中の最高気温は 33度を超える真夏日で 弁当の保存状態が悪かったせいでは ないかとみられています
4911,isn't that what he deserves?,それが彼に望まれる事では?
4912,"goldman, leyman brothers, merrill.",ゴールドマン リーマン・ブラザーズ、メリル・・・
4913,what amazing speed!,すごい速さだ。 えっ?
4914,are there no parts in nature?,自然には部品は存在し無いのでしょうか?
4915,it was simply theft!,たの
4916,i apologize for the incident.,はい。 この間の件 悪かったね。➡
4917,arietta! are you going to betray me?,アリエッタめ 裏切るつもりか
4918,better get maaco!,今度はマコー買えよ!
4919,"in my own bed, at the age of 80 with a bellyful of wine and a girl's mouth around my cock.",自分のベッドの上で 80歳のときに 腹一杯のワインと 私のアレに少女の口があるときに
4920,nothing.,成果なし。
4921,you did it! go for it. i'll definitely go root for you.,やったな お前! 頑張れよ 絶対 応援 行くからな。
4922,we were so young then,僕達が若かった頃
4923,"commander, you should come inside. you're going to wanna see this.",船長 中に戻って これを見てください
4924,and he said there was a man at the river and...,彼が言うには 川のそばには男が居て・・
4925,it's a neurotoxin.,神経毒だ
4926,any evidence that was left was washed away with last night's rain.,全て雨で流されちまった
4927,graciella's with megan. she's fine. oh.,グラシエラは メーガンと一緒よ あの子は 大丈夫 こんなことが起こるなんて 信じられない
4928,and believed to have intersected and twisted at the throat.,喉の前で よじって 交差していたと考えられる。
4929,what the hell is happening?,どうなったんだ?
4930,is that true?,桂さん 無視ですけど。
4931,your doctor said you need to walk an hour a day.,まだ14分よ 医者に1日1時間歩けって言われたでしょ
4932,because it is annoying! what is this !,うっとうしいからって! なによ この~!
4933,some things can't be delegated. hmm.,他人に任せたく無かったのよ
4934,so why am i so worrisome now?,どうして 今は 焦っちゃってるんだろ。
4935,get out of there!,そこから逃げろ!
4936,that's because it was free!,この想い輝くから
4937,it was an accident. lee?,ザックは基礎飛行ができてなかった
4938,what is your name?,先生は平気なのか
4939,"i'm very sorry, gaston, but but...",とても無理よ
4940,'til one day i saw this little girl.,ある日 その少女に会いました
4941,did you kidnap me?,誘拐したのか?
4942,here is the beaver. and here is the stream,これはビーバーです そしてこれが小川
4943,"now that the target's lowered the trigger number, the bomb could blow up before midnight.",そうターゲットは 夜中までに爆発させる
4944,"now you would probably imagine, as she did",彼女がそうしたように、あなたも
4945,you killed me.,ぶっ殺された
4946,walder frey.,ウォルダー・フレイ
4947,"no, sir. turns out she charged some guy a lotta money and didn't put out.",男から金を取って やらせなかったらしい
4948,then i'll never have one.,じゃあ赤ちゃんなんかほしくない
4949,and tatsumi are...,巽のことを...。
4950,with the modern communications,この近代的な手法で
